Running No,DoBIH Number,Streetmap,Geograph,Hill-bagging,Name,SMC Section,RHB Section,Height (m),"Height
(ft)",Map 1:50k,Map 1:25k,Grid Ref,GridRefXY,xcoord,ycoord,1891,1921,1933,1953,1969,1974,1981,1984,1990,1997,2021,Comments
133,278,"http://www.streetmap.co.uk/map?X=216666&Y=771288&SV=216666,771288&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 16666 71288,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=278,Ben Nevis,4,04A,1344.53,4411,41,392,NN166712,NN 16666 71288,216666,771288,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,
134,280,"http://www.streetmap.co.uk/map?X=215942&Y=771916&SV=215942,771916&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 15942 71916,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=280,Ben Nevis - Carn Dearg (NW),4,04A,1221,4006,41,392,NN159719,NN 15942 71916,215942,771916,,,,,,,TOP,TOP,TOP,TOP,TOP,
135,283,"http://www.streetmap.co.uk/map?X=215888&Y=772131&SV=215888,772131&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 15888 72131,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=283,Ben Nevis - Carn Dearg (NW) (old GR),4,04A,1214,3983,41,392,NN158721,NN 15888 72131,215888,772131,TOP,TOP,TOP,TOP,TOP,TOP,,,,,,1891: Carn Dearg; 1921-1974: Carn Dearg (NW)
136,304,"http://www.streetmap.co.uk/map?X=215565&Y=770110&SV=215565,770110&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 15565 70110,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=304,Ben Nevis - Carn Dearg (SW),4,04A,1020,3346,41,392,NN155701,NN 15565 70110,215565,770110,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,1891: Carn Dearg
137,279,"http://www.streetmap.co.uk/map?X=219707&Y=771502&SV=219707,771502&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 19707 71502,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=279,Aonach Beag,4,04A,1234,4049,41,392,NN197715,NN 19707 71502,219707,771502,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,
138,294,"http://www.streetmap.co.uk/map?X=220153&Y=770898&SV=220153,770898&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 20153 70898,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=294,Aonach Beag - Stob Coire Bhealaich,4,04A,1101,3612,41,392,NN201708,NN 20153 70898,220153,770898,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,"1891: Top of Coire Bhealaich; misprint 1½ miles SE of Aonach Beag, corrected to ½m in 1921. 1974-2021 GR is for the slightly lower top 75m E"
139,316,"http://www.streetmap.co.uk/map?X=220409&Y=770169&SV=220409,770169&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 20409 70169,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=316,Aonach Beag - Sgurr a' Bhuic,4,04A,963,3159,41,392,NN204701,NN 20409 70169,220409,770169,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,1891: Sgor a' Bhuic
140,281,"http://www.streetmap.co.uk/map?X=219306&Y=772962&SV=219306,772962&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 19306 72962,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=281,Aonach Mor,4,04A,1220.4,4004,41,392,NN193729,NN 19306 72962,219306,772962,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,
141,299,"http://www.streetmap.co.uk/map?X=220309&Y=773109&SV=220309,773109&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 20309 73109,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=299,Aonach Mor - Stob an Chul-Choire [Stob an Cul Choire],4,04A,1070.1,3511,41,392,NN203731,NN 20309 73109,220309,773109,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,1891: Top of An Cul Choire; 1921-1997 Stob an Cul Choire
142,311,"http://www.streetmap.co.uk/map?X=220848&Y=773611&SV=220848,773611&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 20848 73611,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=311,Aonach Mor - Stob Coire an Fhir Dhuibh,4,04A,986,3235,41,392,NN208736,NN 20848 73611,220848,773611,TOP,TOP,TOP,TOP,TOP,TOP,,,,,,
143,322,"http://www.streetmap.co.uk/map?X=220774&Y=774515&SV=220774,774515&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 20774 74515,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=322,Aonach Mor - Tom na Sroine,4,04A,918.7,3014,41,392,NN207745,NN 20774 74515,220774,774515,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,
144,282,"http://www.streetmap.co.uk/map?X=217748&Y=772172&SV=217748,772172&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 17748 72172,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=282,Carn Mor Dearg,4,04A,1220,4003,41,392,NN177721,NN 17748 72172,217748,772172,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,
145,284,"http://www.streetmap.co.uk/map?X=217596&Y=772686&SV=217596,772686&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 17596 72686,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=284,Carn Mor Dearg - Carn Dearg Meadhonach,4,04A,1179,3868,41,392,NN175726,NN 17596 72686,217596,772686,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,"1974: NN173731 in error, 3870' height is from the 1967 6"" map which is at NN176726. Previous editions give 3873' from the old 6"" map."
146,307,"http://www.streetmap.co.uk/map?X=217146&Y=773596&SV=217146,773596&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 17146 73596,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=307,Carn Mor Dearg - Carn Beag Dearg,4,04A,1010,3314,41,392,NN171735,NN 17146 73596,217146,773596,TOP,TOP,TOP,TOP,TOP,TOP,,,,,,"1891-1969 give the 3264.8' trig on the 6"" map. There is no summit here. 1974: 3300' at NN171737. The cairn 140m SSE is 2m higher but does not fit the location."
147,296,"http://www.streetmap.co.uk/map?X=222771&Y=771419&SV=222771,771419&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 22771 71419,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=296,Sgurr Choinnich Mor,4,04A,1094,3589,41,392,NN227714,NN 22771 71419,222771,771419,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,1891: Sgor a' Choinnich Mor
148,317,"http://www.streetmap.co.uk/map?X=222017&Y=771037&SV=222017,771037&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 22017 71037,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=317,Sgurr Choinnich Mor - Sgurr Choinnich Beag,4,04A,963,3159,41,392,NN220710,NN 22017 71037,222017,771037,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,"1891: Sgor a' Choinnich Beag. 1974: NN228715 in error; height is from 3270' spot at NN220710 on 1968 6"" map"
149,289,"http://www.streetmap.co.uk/map?X=223984&Y=772532&SV=223984,772532&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 23984 72532,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=289,Stob Coire an Laoigh,4,04A,1116,3661,41,392,NN239725,NN 23984 72532,223984,772532,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,
150,291,"http://www.streetmap.co.uk/map?X=224664&Y=772938&SV=224664,772938&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 24664 72938,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=291,Stob Coire an Laoigh - Caisteal,4,04A,1106,3629,41,392,NN246729,NN 24664 72938,224664,772938,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,1984-1997: Casteil
151,297,"http://www.streetmap.co.uk/map?X=223475&Y=772737&SV=223475,772737&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 23475 72737,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=297,Stob Coire an Laoigh - Stob Coire Easain,4,04A,1080,3543,41,392,NN234727,NN 23475 72737,223475,772737,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,1891-1969: Stob Coire an Easain
152,298,"http://www.streetmap.co.uk/map?X=225234&Y=773051&SV=225234,773051&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 25234 73051,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=298,Stob Coire an Laoigh - Stob Coire Cath na Sine,4,04A,1082.4,3551,41,392,NN252730,NN 25234 73051,225234,773051,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,1891: Stob Coire Cath na Sgine
153,306,"http://www.streetmap.co.uk/map?X=223629&Y=773484&SV=223629,773484&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 23629 73484,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=306,Stob Coire an Laoigh - Beinn na Socaich,4,04A,1007,3304,41,392,NN236734,NN 23629 73484,223629,773484,TOP,,,,,,TOP,TOP,TOP,TOP,TOP,
154,285,"http://www.streetmap.co.uk/map?X=226196&Y=773878&SV=226196,773878&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 26196 73878,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=285,Stob Choire Claurigh,4,04A,1177,3862,41,392,NN261738,NN 26196 73878,226196,773878,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,
155,286,"http://www.streetmap.co.uk/map?X=226233&Y=774279&SV=226233,774279&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 26233 74279,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=286,Stob Choire Claurigh North Top,4,04A,1121,3678,41,392,NN262742,NN 26233 74279,226233,774279,,TOP,TOP,TOP,TOP,TOP,,,,,,"1974: NN262744 but no summit here. Previous 3719' ap. retained in 6"" column although the 1968 6"" map has a 3650' contour."
156,288,"http://www.streetmap.co.uk/map?X=226780&Y=774590&SV=226780,774590&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 26780 74590,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=288,Stob Choire Claurigh - Stob Coire na Ceannain,4,04A,1123,3684,41,392,NN267745,NN 26780 74590,226780,774590,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,"1891:  	Stob Coire nan Ceann"
157,293,"http://www.streetmap.co.uk/map?X=225675&Y=773663&SV=225675,773663&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 25675 73663,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=293,Stob Choire Claurigh - Stob a' Choire Leith,4,04A,1105,3625,41,392,NN256736,NN 25675 73663,225675,773663,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,
158,318,"http://www.streetmap.co.uk/map?X=226093&Y=775715&SV=226093,775715&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 26093 75715,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=318,Stob Choire Claurigh - Stob Coire Gaibhre [Stob Coire na Gaibhre],4,04A,958,3143,41,392,NN260757,NN 26093 75715,226093,775715,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,1984-1997: Stob Coire na Gaibhre
159,314,"http://www.streetmap.co.uk/map?X=226669&Y=772395&SV=226669,772395&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 26669 72395,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=314,Stob Ban,4,04A,977,3205,41,392,NN266723,NN 26669 72395,226669,772395,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,
160,290,"http://www.streetmap.co.uk/map?X=230802&Y=773066&SV=230802,773066&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 30802 73066,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=290,Stob Coire Easain,4,04A,1115,3658,41,392,NN308730,NN 30802 73066,230802,773066,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,1891: Stob Choire an Easain Mhoir
161,292,"http://www.streetmap.co.uk/map?X=231652&Y=773643&SV=231652,773643&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 31652 73643,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=292,Stob a' Choire Mheadhoin,4,04A,1105,3625,41,392,NN316736,NN 31652 73643,231652,773643,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,1891: Stob a' Choire Mheadhonaiche
162,305,"http://www.streetmap.co.uk/map?X=223054&Y=765788&SV=223054,765788&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 23054 65788,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=305,Sgurr Eilde Mor,4,04A,1010,3314,41,392,NN230657,NN 23054 65788,223054,765788,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,1891: Sgor na h-Eilde
163,320,"http://www.streetmap.co.uk/map?X=222173&Y=767714&SV=222173,767714&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 22173 67714,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=320,Binnein Beag,4,04A,943,3094,41,392,NN221677,NN 22173 67714,222173,767714,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,
164,287,"http://www.streetmap.co.uk/map?X=221219&Y=766352&SV=221219,766352&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 21219 66352,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=287,Binnein Mor,4,04A,1130,3707,41,392,NN212663,NN 21219 66352,221219,766352,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,
165,300,"http://www.streetmap.co.uk/map?X=221107&Y=765695&SV=221107,765695&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 21107 65695,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=300,Binnein Mor South Top,4,04A,1062,3484,41,392,NN211656,NN 21107 65695,221107,765695,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,1891: Top of Coire nan Laogh
166,319,"http://www.streetmap.co.uk/map?X=221963&Y=765300&SV=221963,765300&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 21963 65300,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=319,Binnein Mor - Sgor Eilde Beag,4,04A,955.7,3135,41,392,NN219653,NN 21963 65300,221963,765300,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,1891: Sgor na h-Eilde Beag; 1921-1990: Sgurr Eilde Beag
167,301,"http://www.streetmap.co.uk/map?X=220307&Y=765200&SV=220307,765200&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 20307 65200,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=301,Na Gruagaichean,4,04A,1054.3,3459,41,392,NN203652,NN 20307 65200,220307,765200,TOP,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,1891: A' Gruagach
168,302,"http://www.streetmap.co.uk/map?X=220105&Y=765440&SV=220105,765440&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 20105 65440,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=302,Na Gruagaichean NW Top,4,04A,1038.8,3408,41,392,NN201654,NN 20105 65440,220105,765440,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,1891: A' Gruagach NW Top
169,312,"http://www.streetmap.co.uk/map?X=218770&Y=766992&SV=218770,766992&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 18770 66992,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=312,An Gearanach,4,04A,981.5,3220,41,392,NN187669,NN 18770 66992,218770,766992,MUN,TOP,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,"1933 footnote explains the 1921 move to An Garbhanach as a mistake, and estimates the heights as 3240' and 3230'"
170,315,"http://www.streetmap.co.uk/map?X=218819&Y=766569&SV=218819,766569&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 18819 66569,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=315,An Gearanach - An Garbhanach,4,04A,974.9,3198,41,392,NN188665,NN 18819 66569,218819,766569,TOP,MUN,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,
171,313,"http://www.streetmap.co.uk/map?X=218561&Y=766063&SV=218561,766063&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 18561 66063,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=313,Stob Coire a' Chairn,4,04A,981.3,3219,41,392,NN185660,NN 18561 66063,218561,766063,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,
172,303,"http://www.streetmap.co.uk/map?X=217637&Y=765097&SV=217637,765097&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 17637 65097,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=303,Am Bodach,4,04A,1031.8,3385,41,392,NN176650,NN 17637 65097,217637,765097,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,
173,308,"http://www.streetmap.co.uk/map?X=216521&Y=765512&SV=216521,765512&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 16521 65512,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=308,Sgurr a' Mhaim - Sgurr an Iubhair [Sgor an Iubhair],4,04A,999.7,3280,41,392,NN165655,NN 16521 65512,216521,765512,TOP,TOP,TOP,TOP,TOP,TOP,MUN,MUN,MUN,TOP,TOP,1891-1997: Sgor an Iubhair
174,310,"http://www.streetmap.co.uk/map?X=216329&Y=766001&SV=216329,766001&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 16329 66001,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=310,Sgurr a' Mhaim - Stob Choire a' Mhail,4,04A,990,3248,41,392,NN163660,NN 16329 66001,216329,766001,,,,,,,TOP,TOP,TOP,TOP,TOP,1981: Stob a' Choire Mhail
175,295,"http://www.streetmap.co.uk/map?X=216465&Y=766730&SV=216465,766730&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 16465 66730,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=295,Sgurr a' Mhaim,4,04A,1099,3606,41,392,NN164667,NN 16465 66730,216465,766730,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,1891: Sgor a' Mhaim
176,309,"http://www.streetmap.co.uk/map?X=214777&Y=765443&SV=214777,765443&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 14777 65443,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=309,Stob Ban,4,04A,999.7,3280,41,392,NN147654,NN 14777 65443,214777,765443,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,
177,321,"http://www.streetmap.co.uk/map?X=212233&Y=766243&SV=212233,766243&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 12233 66243,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=321,Mullach nan Coirean,4,04A,939.3,3082,41,392,NN122662,NN 12233 66243,212233,766243,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,
178,323,"http://www.streetmap.co.uk/map?X=213125&Y=765472&SV=213125,765472&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 13125 65472,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=323,Mullach nan Coirean SE Top,4,04A,917.5,3010,41,392,NN131654,NN 13125 65472,213125,765472,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,1891: Top of Coire Dearg
179,324,"http://www.streetmap.co.uk/map?X=213731&Y=765600&SV=213731,765600&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 13731 65600,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=324,Mullach nan Coirean East Top,4,04A,916.6,3007,41,392,NN137656,NN 13731 65600,213731,765600,,,,,,,,,,,TOP,New Munro Top August 2019 following survey
180,356,"http://www.streetmap.co.uk/map?X=235669&Y=774381&SV=235669,774381&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 35669 74381,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=356,Stob Coire Sgriodain,4,04B,979,3212,41,OL50 393,NN356743,NN 35669 74381,235669,774381,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,
181,360,"http://www.streetmap.co.uk/map?X=235935&Y=773883&SV=235935,773883&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 35935 73883,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=360,Stob Coire Sgriodain South Top,4,04B,958,3143,41,OL50 393,NN359738,NN 35935 73883,235935,773883,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,1891: Crags above Glac Bhan
182,351,"http://www.streetmap.co.uk/map?X=237741&Y=774115&SV=237741,774115&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 37741 74115,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=351,Chno Dearg,4,04B,1046,3432,41,OL50 393,NN377741,NN 37741 74115,237741,774115,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,1891: Cnoc Dearg
183,357,"http://www.streetmap.co.uk/map?X=237107&Y=773051&SV=237107,773051&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 37107 73051,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=357,Chno Dearg - Meall Garbh (old GR),4,04B,975,3199,41,OL50 393,NN371730,NN 37107 73051,237107,773051,TOP,TOP,TOP,TOP,TOP,TOP,,,,,,1891-1969: Meall Garbh. Shoulder ¾ mile SW of Chno Dearg. NN371731 in 1974 tables
184,358,"http://www.streetmap.co.uk/map?X=237172&Y=772759&SV=237172,772759&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 37172 72759,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=358,Chno Dearg - Meall Garbh,4,04B,976,3202,41,OL50 393,NN371727,NN 37172 72759,237172,772759,,,,,,,TOP,TOP,TOP,TOP,TOP,
185,364,"http://www.streetmap.co.uk/map?X=237616&Y=769585&SV=237616,769585&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 37616 69585,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=364,Beinn na Lap,4,04B,935,3068,41,OL50 385W 393,NN376695,NN 37616 69585,237616,769585,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,
186,363,"http://www.streetmap.co.uk/map?X=241773&Y=766143&SV=241773,766143&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 41773 66143,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=363,Carn Dearg,4,04B,941,3087,42,385W,NN417661,NN 41773 66143,241773,766143,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,
187,361,"http://www.streetmap.co.uk/map?X=244477&Y=767448&SV=244477,767448&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 44477 67448,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=361,Sgor Gaibhre,4,04B,955,3133,42,385E 385W,NN444674,NN 44477 67448,244477,767448,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,
188,365,"http://www.streetmap.co.uk/map?X=244360&Y=768323&SV=244360,768323&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 44360 68323,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=365,Sgor Gaibhre - Sgor Choinnich,4,04B,929,3048,42,OL50 385E 385W 393,NN443683,NN 44360 68323,244360,768323,MUN,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,
189,348,"http://www.streetmap.co.uk/map?X=244965&Y=773302&SV=244965,773302&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 44965 73302,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=348,Beinn Eibhinn,4,04B,1103.3,3620,42,OL50 393,NN449733,NN 44965 73302,244965,773302,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,
190,366,"http://www.streetmap.co.uk/map?X=243675&Y=772782&SV=243675,772782&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 43675 72782,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=366,Beinn Eibhinn - Meall Glas Choire,4,04B,924,3031,42,OL50 385E 393,NN436727,NN 43675 72782,243675,772782,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,1891-1974: Uinneag a' Ghlas-Choire (misprinted Uinneg in 1974)
191,368,"http://www.streetmap.co.uk/map?X=243026&Y=773429&SV=243026,773429&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 43026 73429,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=368,Beinn Eibhinn - Mullach Coire nan Nead,4,04B,922,3025,42,OL50 393,NN430734,NN 43026 73429,243026,773429,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,
192,347,"http://www.streetmap.co.uk/map?X=245786&Y=774190&SV=245786,774190&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 45786 74190,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=347,Aonach Beag,4,04B,1115.8,3661,42,OL50 393,NN457741,NN 45786 74190,245786,774190,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,
193,346,"http://www.streetmap.co.uk/map?X=246992&Y=774629&SV=246992,774629&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 46992 74629,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=346,Geal-Charn,4,04B,1132,3714,42,OL50 393,NN469746,NN 46992 74629,246992,774629,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,1981-1997: Geal Charn
194,353,"http://www.streetmap.co.uk/map?X=248969&Y=774386&SV=248969,774386&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 48969 74386,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=353,Geal-Charn - Sgor Iutharn,4,04B,1028,3373,42,OL50 393,NN489743,NN 48969 74386,248969,774386,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,1891: Sgor Iutharna
